name,target,skill,succeedRatio
01_d04,1.0,d4,25.0
02_d04,2.0,d4,50.0
03_d04,3.0,d4,75.0
04_d04,4.0,d4,100.0
05_d04,5.0,d4,100.0
06_d04,6.0,d4,100.0
07_d04,7.0,d4,100.0
08_d04,8.0,d4,100.0
09_d04,9.0,d4,100.0
10_d04,10.0,d4,100.0
01_d06,1.0,d6,16.7
02_d06,2.0,d6,33.4
03_d06,3.0,d6,50.0
04_d06,4.0,d6,66.6
05_d06,5.0,d6,83.3
06_d06,6.0,d6,100.0
07_d06,7.0,d6,100.0
08_d06,8.0,d6,100.0
09_d06,9.0,d6,100.0
10_d06,10.0,d6,100.0
01_d08,1.0,d8,12.5
02_d08,2.0,d8,25.0
03_d08,3.0,d8,37.5
04_d08,4.0,d8,50.0
05_d08,5.0,d8,62.5
06_d08,6.0,d8,74.9
07_d08,7.0,d8,87.5
08_d08,8.0,d8,100.0
09_d08,9.0,d8,100.0
10_d08,10.0,d8,100.0
01_d10,1.0,d10,10.0
02_d10,2.0,d10,20.0
03_d10,3.0,d10,30.0
04_d10,4.0,d10,40.0
05_d10,5.0,d10,50.1
06_d10,6.0,d10,60.0
07_d10,7.0,d10,70.0
08_d10,8.0,d10,80.0
09_d10,9.0,d10,90.0
10_d10,10.0,d10,100.0
01_d12,1.0,d12,8.3
02_d12,2.0,d12,16.6
03_d12,3.0,d12,25.0
04_d12,4.0,d12,33.4
05_d12,5.0,d12,41.7
06_d12,6.0,d12,50.0
07_d12,7.0,d12,58.4
08_d12,8.0,d12,66.7
09_d12,9.0,d12,75.0
10_d12,10.0,d12,83.2